Region,crop type,Year, Area cultivated(Ha),Production(kg),Yeild (kg/ha)
Afar,Wheat,2002,50.16,19431,387
Afar,Maize,2002,6100.41,6051564,992
Afar,Sorghum,2002,1404.78,1094059,779
Afar,Millet,2002,,0,0
Afar,Oats,2002,,0,0
Afar,Teff,2004,1516,1017700,671
Afar,Barely,2004,,0,0
Afar,Wheat,2004,,0,0
Afar,Maize,2004,7826,21282200,2719
Afar,Sorghum,2004,3045,2863500,940
Afar,Millet,2004,,0,0
Afar,Oats,2004,,0,0
Afar,Teff,2005,1729,819400,474
Afar,Barely,2005,59,20300,343
Afar,Wheat,2005,,0,0
Afar,Maize,2005,6863,13131100,1913
Afar,Sorghum,2005,1725,1077900,625
Afar,Millet,2005,,0,0
Afar,Oats,2005,,0,0
Afar,Teff,2006,1784.32,817683,458
Afar,Barely,2006,501.93,22697,45
Afar,Wheat,2006,29.62,14534,491
Afar,Maize,2006,12776.38,34727756,2718
Afar,Sorghum,2006,2265.28,1451898,641
Afar,Millet,2006,,0,0
Afar,Oats,2006,,0,0
Afar,Teff,2007,2492.71,1489995,598
Afar,Barely,2007,,0,0
Afar,Wheat,2007,,0,0
Afar,Maize,2007,13221,49061022,3711
Afar,Sorghum,2007,1551.95,772190,498
Afar,Millet,2007,,0,0
Afar,Oats,2007,,0,0
Afar,Teff,2008,,0,0
Afar,Barely,2008,,0,0
Afar,Wheat,2008,,0,0
Afar,Maize,2008,12535.16,36059537,2877
Afar,Sorghum,2008,,2068315,0
Afar,Millet,2008,,0,0
Afar,Oats,2008,,0,0
Afar,Teff,2009,,0,0
Afar,Barely,2009,,0,0
Afar,Wheat,2009,,0,0
Afar,Maize,2009,13166.81,37351425,2837
Afar,Sorghum,2009,,0,0
Afar,Millet,2009,,0,0
Afar,Oats,2009,,0,0
Afar,Teff,2010,,0,0
Afar,Barely,2010,,0,0
Afar,Wheat,2010,,0,0
Afar,Maize,2010,3498.58,12896404,3686
Afar,Sorghum,2010,578.4,783490,1355
Afar,Millet,2010,,0,0
Afar,Oats,2010,,0,0
Afar,Teff,2011,,0,0
Afar,Barely,2011,,0,0
Afar,Wheat,2011,,0,0
Afar,Maize,2011,,0,0
Afar,Sorghum,2011,2700.93,4643750,1719
Afar,Millet,2011,,0,0
Afar,Oats,2011,,0,0
Afar,Teff,2012,,0,0
Afar,Barely,2012,,0,0
Afar,Wheat,2012,,0,0
Afar,Maize,2012,4333.21,14049806,3242
Afar,Sorghum,2012,,0,0
Afar,Millet,2012,,0,0
Afar,Oats,2012,,0,0
Afar,Teff,2013,,0,0
Afar,Barely,2013,,0,0
Afar,Wheat,2013,,0,0
Afar,Maize,2013,3346.35,18848263,5632
Afar,Sorghum,2013,,0,0
Afar,Millet,2013,,0,0
Afar,Oats,2013,,0,0
Afar,Teff,2014,,0,0
Afar,Barely,2014,,0,0
Afar,Wheat,2014,,0,0
Afar,Maize,2014,4723.91,17223347,3646
Afar,Sorghum,2014,,0,0
Afar,Millet,2014,,0,0
Afar,Oats,2014,,0,0
Afar,Teff,2015,,0,0
Afar,Barely,2015,,0,0
Afar,Wheat,2015,,0,0
Afar,Maize,2015,,0,0
Afar,Sorghum,2015,,0,0
Afar,Millet,2015,,0,0
Afar,Oats,2015,,0,0
Afar,Teff,2016,,0,0
Afar,Barely,2016,,0,0
Afar,Wheat,2016,,0,0
Afar,Maize,2016,2330.86,5639678,2420
Afar,Sorghum,2016,,0,0
Afar,Millet,2016,,0,0
Afar,Oats,2016,,0,0
Afar,Teff,2017,,0,0
Afar,Barely,2017,,0,0
Afar,Wheat,2017,,0,0
Afar,Maize,2017,4664.83,13553348,2905
Afar,Sorghum,2017,1555.78,3338260,2146
Afar,Millet,2017,,0,0
Afar,Oats,2017,,0,0
Afar,Teff,2018,,0,0
Afar,Barely,2018,,0,0
Afar,Wheat,2018,,0,0
Afar,Maize,2018,4308.23,13800912,3203
Afar,Sorghum,2018,,0,0
Afar,Millet,2018,,0,0
Afar,Oats,2018,,0,0
Afar,Teff,2019,,0,0
Afar,Barely,2019,,0,0
Afar,Wheat,2019,,0,0
Afar,Maize,2019,4308.23,13800912,3203
Afar,Sorghum,2019,,0,0
Afar,Millet,2019,,0,0
Afar,Oats,2019,,0,0
Afar,Teff,2020,,0,0
Afar,Barely,2020,,0,0
Afar,Wheat,2020,,0,0
Afar,Maize,2020,,0,0
Afar,Sorghum,2020,,0,0
Afar,Millet,2020,,0,0
Afar,Oats,2020,,0,0
Afar,Teff,2021,,0,0
Afar,Barely,2021,,0,0
Afar,Wheat,2021,,0,0
Afar,Maize,2021,2933.27,2684522,915
Afar,Sorghum,2021,2333.36,2987401,1280
Afar,Millet,2021,,0,0
Afar,Oats,2021,,0,0
Afar,Teff,2022,1453,0,0
Afar,Barely,2022,,0,0
Afar,Wheat,2022,,0,0
Afar,Maize,2022,4651,3604169,775
Afar,Sorghum,2022,2501,1199761,480
Afar,Millet,2022,,0,0
Afar,Oats,2022,,0,0
Amhara,Teff,1996,882280,693081000,786
Amhara,Barely,1996,295850,250946000,848
Amhara,Wheat,1996,259460,231402000,892
Amhara,Maize,1996,289690,566729000,1956
