region,crop_type,year,area_cultivated_ha,production_kg,yield_kg_ha,NDVI_mean,NDVI_peak,temperature_mean,rainfall
Amhara,Oats,2021,4561.04,6837950.0,1499.0,0.26489766220647126,0.48064639228032574,20.74808743169399,942.5
Amhara,Teff,2022,1177078.03,2254030137.0,1915.0,0.2896699732585647,0.5464548577889874,20.183060109289617,949.9000000000001
Amhara,Barely,2022,286865.38,646475641.0,2254.0,0.2896699732585647,0.5464548577889874,20.183060109289617,949.9000000000001
Amhara,Wheat,2022,689614.06,1922028970.0,2787.0,0.2896699732585647,0.5464548577889874,20.183060109289617,949.9000000000001
Amhara,Maize,2022,616502.44,2642188834.0,4286.0,0.24728920687630038,0.5464548577889874,21.01195652173913,949.8
Amhara,Sorghum,2022,576148.05,1529198053.0,2654.0,0.2514946681086315,0.5464548577889874,21.011682242990656,950.8000000000001
Amhara,Millet,2022,243448.48,632893061.0,2600.0,0.2896699732585647,0.5464548577889874,20.183060109289617,949.9000000000001
Amhara,Oats,2022,2933.05,4151348.0,1415.0,0.2896699732585647,0.5464548577889874,20.183060109289617,949.9000000000001
Oromiya,Teff,2015,1427548.05,2325488216.0,1629.0,0.29907558996342,0.29917478715030643,20.989071038251367,264.5
Oromiya,Barely,2015,456192.42,127532649.0,2252.0,0.29907558996342,0.29917478715030643,20.989071038251367,264.5
Oromiya,Wheat,2015,875641.45,2470321041.0,2821.0,0.29907558996342,0.29917478715030643,20.989071038251367,264.5
Oromiya,Maize,2015,1129849.71,3944110364.0,3491.0,0.29907558996342,0.29917478715030643,21.31086956521739,330.9
Oromiya,Sorghum,2015,719399.7,1814671697.0,2522.0,0.29907558996342,0.29917478715030643,21.207943925233646,331.79999999999995
Oromiya,Millet,2015,92804.53,183448648.0,1977.0,0.29907558996342,0.29917478715030643,20.989071038251367,264.5
Oromiya,Oats,2015,22369.93,42990350.0,1922.0,0.29907558996342,0.29917478715030643,20.989071038251367,264.5
Oromiya,Teff,2016,1369934.27,2215625767.0,1617.0,0.29679996299852446,0.30225742320129284,20.447540983606558,272.2
Oromiya,Barely,2016,439971.07,980086302.0,2228.0,0.29679996299852446,0.30225742320129284,20.447540983606558,272.2
Oromiya,Wheat,2016,872252.8,2459375144.0,2820.0,0.29679996299852446,0.30225742320129284,20.447540983606558,272.2
Oromiya,Maize,2016,1125747.85,3953859374.0,3512.0,0.25581970354836225,0.2557856946411128,20.559239130434783,399.0
Oromiya,Sorghum,2016,759954.42,1884630071.0,2480.0,0.29679996299852446,0.30225742320129284,20.489719626168224,401.8
Oromiya,Millet,2016,88929.61,183257842.0,2061.0,0.29679996299852446,0.30225742320129284,20.447540983606558,272.2
Oromiya,Oats,2016,18685.46,35777129.0,1915.0,0.29679996299852446,0.30225742320129284,20.447540983606558,272.2
Oromiya,Teff,2017,1441029.78,2473796379.0,1717.0,0.28621667089285996,0.36568969598909606,20.154644808743168,495.59999999999997
Oromiya,Barely,2017,454662.78,1093944813.0,2406.0,0.28621667089285996,0.36568969598909606,20.154644808743168,495.59999999999997
Oromiya,Wheat,2017,898455.57,2664024446.0,2965.0,0.28621667089285996,0.36568969598909606,20.154644808743168,495.59999999999997
Oromiya,Maize,2017,1142653.56,4362096931.0,3818.0,0.33487659702633815,0.36568969598909606,20.205978260869564,650.6999999999999
Oromiya,Sorghum,2017,739781.8,1916601228.0,2591.0,0.28621667089285996,0.36568969598909606,20.237850467289718,651.3999999999999
Oromiya,Millet,2017,89584.8,203588144.0,2273.0,0.28621667089285996,0.36568969598909606,20.154644808743168,495.59999999999997
Oromiya,Oats,2017,20656.17,44128318.0,2136.0,0.28621667089285996,0.36568969598909606,20.154644808743168,495.59999999999997
Oromiya,Teff,2018,1443847.96,2581457748.0,1788.0,0.3828403969729988,0.48213238663946933,19.9120218579235,526.6
Oromiya,Barely,2018,451279.26,1088487660.0,2412.0,0.3828403969729988,0.48213238663946933,19.9120218579235,526.6
Oromiya,Wheat,2018,898682.57,2669917773.0,2971.0,0.3828403969729988,0.48213238663946933,19.9120218579235,526.6
Oromiya,Maize,2018,1146899.78,4676744066.0,4078.0,0.3732624374721102,0.48213238663946933,20.047826086956523,559.8
Oromiya,Sorghum,2018,735263.79,2081066734.0,2830.0,0.347599879498633,0.48213238663946933,20.095794392523363,591.1999999999999
Oromiya,Millet,2018,93831.88,219537397.0,2340.0,0.3828403969729988,0.48213238663946933,19.9120218579235,526.6
Oromiya,Oats,2018,21253.56,45913699.0,2160.0,0.3828403969729988,0.48213238663946933,19.9120218579235,526.6
Oromiya,Teff,2019,1431869.73,2562868888.0,1790.0,0.3108304452433199,0.6065937500295525,19.65191256830601,627.3
Oromiya,Barely,2019,386569.22,932507644.0,2412.0,0.3108304452433199,0.6065937500295525,19.65191256830601,627.3
Oromiya,Wheat,2019,897118.0,2685287615.0,2912.0,0.3108304452433199,0.6065937500295525,19.65191256830601,627.3
Oromiya,Maize,2019,1324274.98,5438311944.0,4107.0,0.2726001676015948,0.6065937500295525,20.01086956521739,706.8
Oromiya,Sorghum,2019,718966.58,2053163606.0,2856.0,0.27989667964910003,0.6065937500295525,20.08224299065421,737.0
Oromiya,Millet,2019,82044.16,201074320.0,2451.0,0.3108304452433199,0.6065937500295525,19.65191256830601,627.3
Oromiya,Oats,2019,11212.68,24678517.0,2201.0,0.3108304452433199,0.6065937500295525,19.65191256830601,627.3
Oromiya,Teff,2020,1512041.32,2845606691.0,1882.0,0.35146001915487074,0.6351890140720673,19.8224043715847,595.4
Oromiya,Barely,2020,372910.96,904786657.0,2426.0,0.35146001915487074,0.6351890140720673,19.8224043715847,595.4
